Trimestre;Tipo de producto;Corredor;Empresa;Tipo de servicio;Ingresos por venta de billetes;Plazas Ofertadas;Plazas.km Ofertadas (Plazas.km);Tren.km (Tren.km);Viajeros;Viajeros.km (Viajeros.km)
2024T1;Cercanías;Total;Total;OSP;;110331152;5701555719;15759590;111626604;2004000646
2024T1;LD AV;Madrid-Alicante;Iryo;Comercial;;43334;21103658;45778;30454;14151922
2024T1;LD AV;Madrid-Alicante;OUIGO;Comercial;;277393;135090391;265415;232214;105351896
2024T1;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;911140;430047451;1307658;573881;243801091
2024T1;LD AV;Madrid-Barcelona;Iryo;Comercial;;989520;637839039;1383599;791234;453631314
2024T1;LD AV;Madrid-Barcelona;OUIGO;Comercial;;670765;418896141;539181;634119;358055817
2024T1;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;1957132;1203600693;2934559;1982607;928176609
2024T1;LD AV;Madrid-Barcelona;Total;Comercial;130649154;;;;;
2024T1;LD AV;Madrid-Málaga/Granada;Iryo;Comercial;;418588;214317056;464896;291389;137440752
2024T1;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;974688;505732106;1268268;797874;356648400
2024T1;LD AV;Madrid-Sevilla;Iryo;Comercial;;429638;221304294;480053;317391;142046504
2024T1;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;961797;447081989;1260120;808133;338401511
2024T1;LD AV;Madrid-Valencia;Iryo;Comercial;;609903;242741394;526554;376912;149171992
2024T1;LD AV;Madrid-Valencia;OUIGO;Comercial;;470243;187156714;361384;359832;143213136
2024T1;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;916406;365460564;1019637;625653;236611246
2024T1;LD AV;Madrid-Valencia;Total;Comercial;32869768;;;;;
2024T1;LD AV;Resto;Total;Comercial;;898084;699993702;1375489;771237;445005483
2024T1;LD Convencional;Total;Total;Comercial;;2707079;1379547903;5219023;2220470;878377694
2024T1;MD AV;Total;Total;OSP;;4061837;679764793;1993910;3145453;405680121
2024T1;MD Convencional;Total;Total;OSP;;14371321;2058726781;8164184;8636994;900886561
2024T2;Cercanías;Total;Total;OSP;;110568846;5631649082;15280471;115403181;2062799887
