Mes;Empresa;Tipo de servicio;Tipo de producto;Trayecto;Precio (€)
2023-03;Renfe-AVLO;Comercial;LD AV;Madrid-Valencia;21,3
2023-03;Total;Comercial;LD AV;Madrid-Alicante;51,77
2023-03;Total;Comercial;LD AV;Madrid-Barcelona;47,75
2023-03;Total;Comercial;LD AV;Madrid-Málaga;65,45
2023-03;Total;Comercial;LD AV;Madrid-Sevilla;67,58
2023-03;Total;Comercial;LD AV;Madrid-Valencia;31,29
2023-04;Iryo;Comercial;LD AV;Madrid-Barcelona;40,31
2023-04;Iryo;Comercial;LD AV;Madrid-Málaga;52,77
2023-04;Iryo;Comercial;LD AV;Madrid-Sevilla;58,25
2023-04;Iryo;Comercial;LD AV;Madrid-Valencia;23,46
2023-04;OUIGO;Comercial;LD AV;Madrid-Alicante;24,26
2023-04;OUIGO;Comercial;LD AV;Madrid-Barcelona;39,58
2023-04;OUIGO;Comercial;LD AV;Madrid-Valencia;23,74
2023-04;Renfe-AVE;Comercial;LD AV;Madrid-Alicante;55,17
2023-04;Renfe-AVE;Comercial;LD AV;Madrid-Barcelona;68,46
2023-04;Renfe-AVE;Comercial;LD AV;Madrid-Málaga;68,1
2023-04;Renfe-AVE;Comercial;LD AV;Madrid-Sevilla;75,77
2023-04;Renfe-AVE;Comercial;LD AV;Madrid-Valencia;38,86
2023-04;Renfe-AVLO;Comercial;LD AV;Madrid-Alicante;32,76
2023-04;Renfe-AVLO;Comercial;LD AV;Madrid-Barcelona;46,62
2023-04;Renfe-AVLO;Comercial;LD AV;Madrid-Valencia;23,78
2023-04;Total;Comercial;LD AV;Madrid-Alicante;51,37
2023-04;Total;Comercial;LD AV;Madrid-Barcelona;53,47
2023-04;Total;Comercial;LD AV;Madrid-Málaga;65,76
2023-04;Total;Comercial;LD AV;Madrid-Sevilla;73,23
2023-04;Total;Comercial;LD AV;Madrid-Valencia;30,46
2023-05;Iryo;Comercial;LD AV;Madrid-Barcelona;44,01
2023-05;Iryo;Comercial;LD AV;Madrid-Málaga;56,74
2023-05;Iryo;Comercial;LD AV;Madrid-Sevilla;57,41
2023-05;Iryo;Comercial;LD AV;Madrid-Valencia;24,52
2023-05;OUIGO;Comercial;LD AV;Madrid-Alicante;18,3
2023-05;OUIGO;Comercial;LD AV;Madrid-Barcelona;40,31
2023-05;OUIGO;Comercial;LD AV;Madrid-Valencia;21,92
2023-05;Renfe-AVE;Comercial;LD AV;Madrid-Alicante;52,82
2023-05;Renfe-AVE;Comercial;LD AV;Madrid-Barcelona;69,19
2023-05;Renfe-AVE;Comercial;LD AV;Madrid-Málaga;71,22
2023-05;Renfe-AVE;Comercial;LD AV;Madrid-Sevilla;74,8
2023-05;Renfe-AVE;Comercial;LD AV;Madrid-Valencia;40,73
2023-05;Renfe-AVLO;Comercial;LD AV;Madrid-Alicante;25,03
2023-05;Renfe-AVLO;Comercial;LD AV;Madrid-Barcelona;47,56
2023-05;Renfe-AVLO;Comercial;LD AV;Madrid-Valencia;24,1
2023-05;Total;Comercial;LD AV;Madrid-Alicante;44,02
2023-05;Total;Comercial;LD AV;Madrid-Barcelona;55,32
2023-05;Total;Comercial;LD AV;Madrid-Málaga;68,58
2023-05;Total;Comercial;LD AV;Madrid-Sevilla;70,33
2023-05;Total;Comercial;LD AV;Madrid-Valencia;31,33
2023-06;Iryo;Comercial;LD AV;Madrid-Alicante;29,64
2023-06;Iryo;Comercial;LD AV;Madrid-Barcelona;45,21
2023-06;Iryo;Comercial;LD AV;Madrid-Málaga;60,66
2023-06;Iryo;Comercial;LD AV;Madrid-Sevilla;56,88
2023-06;Iryo;Comercial;LD AV;Madrid-Valencia;27,48
2023-06;OUIGO;Comercial;LD AV;Madrid-Alicante;20,99
2023-06;OUIGO;Comercial;LD AV;Madrid-Barcelona;39,94
2023-06;OUIGO;Comercial;LD AV;Madrid-Valencia;21,37
2023-06;Renfe-AVE;Comercial;LD AV;Madrid-Alicante;58,33
2023-06;Renfe-AVE;Comercial;LD AV;Madrid-Barcelona;65,33
2023-06;Renfe-AVE;Comercial;LD AV;Madrid-Málaga;70,65
2023-06;Renfe-AVE;Comercial;LD AV;Madrid-Sevilla;71,61
2023-06;Renfe-AVE;Comercial;LD AV;Madrid-Valencia;46,4
2023-06;Renfe-AVLO;Comercial;LD AV;Madrid-Alicante;28,56
2023-06;Renfe-AVLO;Comercial;LD AV;Madrid-Barcelona;46,47
2023-06;Renfe-AVLO;Comercial;LD AV;Madrid-Málaga;57,68
2023-06;Renfe-AVLO;Comercial;LD AV;Madrid-Sevilla;44,4
2023-06;Renfe-AVLO;Comercial;LD AV;Madrid-Valencia;25,06
2023-06;Total;Comercial;LD AV;Madrid-Alicante;46,5
2023-06;Total;Comercial;LD AV;Madrid-Barcelona;53,85
2023-06;Total;Comercial;LD AV;Madrid-Málaga;67
2023-06;Total;Comercial;LD AV;Madrid-Sevilla;64,91
2023-06;Total;Comercial;LD AV;Madrid-Valencia;34,8
2023-07;Iryo;Comercial;LD AV;Madrid-Alicante;34,65
2023-07;Iryo;Comercial;LD AV;Madrid-Barcelona;49,75
2023-07;Iryo;Comercial;LD AV;Madrid-Málaga;56,95
2023-07;Iryo;Comercial;LD AV;Madrid-Sevilla;49,72
2023-07;Iryo;Comercial;LD AV;Madrid-Valencia;28,39
2023-07;OUIGO;Comercial;LD AV;Madrid-Alicante;27,21
2023-07;OUIGO;Comercial;LD AV;Madrid-Barcelona;44,41
2023-07;OUIGO;Comercial;LD AV;Madrid-Valencia;23,21
2023-07;Renfe-AVE;Comercial;LD AV;Madrid-Alicante;60,48
2023-07;Renfe-AVE;Comercial;LD AV;Madrid-Barcelona;62,22
2023-07;Renfe-AVE;Comercial;LD AV;Madrid-Málaga;70,41
2023-07;Renfe-AVE;Comercial;LD AV;Madrid-Sevilla;61,7
2023-07;Renfe-AVE;Comercial;LD AV;Madrid-Valencia;44,21
2023-07;Renfe-AVLO;Comercial;LD AV;Madrid-Alicante;32,62
2023-07;Renfe-AVLO;Comercial;LD AV;Madrid-Barcelona;46,19
2023-07;Renfe-AVLO;Comercial;LD AV;Madrid-Málaga;58,8
2023-07;Renfe-AVLO;Comercial;LD AV;Madrid-Sevilla;38,5
2023-07;Renfe-AVLO;Comercial;LD AV;Madrid-Valencia;25,46
2023-07;Total;Comercial;LD AV;Madrid-Alicante;49,69
2023-07;Total;Comercial;LD AV;Madrid-Barcelona;54,49
2023-07;Total;Comercial;LD AV;Madrid-Málaga;65,57
2023-07;Total;Comercial;LD AV;Madrid-Sevilla;56,28
2023-07;Total;Comercial;LD AV;Madrid-Valencia;34,28
2023-08;Iryo;Comercial;LD AV;Madrid-Alicante;28,99
2023-08;Iryo;Comercial;LD AV;Madrid-Barcelona;40,62
2023-08;Iryo;Comercial;LD AV;Madrid-Málaga;52,65
2023-08;Iryo;Comercial;LD AV;Madrid-Sevilla;38,96
2023-08;Iryo;Comercial;LD AV;Madrid-Valencia;22,28
2023-08;OUIGO;Comercial;LD AV;Madrid-Alicante;27,44
2023-08;OUIGO;Comercial;LD AV;Madrid-Barcelona;41,75
2023-08;OUIGO;Comercial;LD AV;Madrid-Valencia;22,76
2023-08;Renfe-AVE;Comercial;LD AV;Madrid-Alicante;57,09
2023-08;Renfe-AVE;Comercial;LD AV;Madrid-Barcelona;55,99
2023-08;Renfe-AVE;Comercial;LD AV;Madrid-Málaga;64,57
2023-08;Renfe-AVE;Comercial;LD AV;Madrid-Sevilla;50,49
2023-08;Renfe-AVE;Comercial;LD AV;Madrid-Valencia;38,81
2023-08;Renfe-AVLO;Comercial;LD AV;Madrid-Alicante;29,19
2023-08;Renfe-AVLO;Comercial;LD AV;Madrid-Barcelona;38,93
2023-08;Renfe-AVLO;Comercial;LD AV;Madrid-Málaga;51,95
2023-08;Renfe-AVLO;Comercial;LD AV;Madrid-Sevilla;29,09
2023-08;Renfe-AVLO;Comercial;LD AV;Madrid-Valencia;23,02
2023-08;Total;Comercial;LD AV;Madrid-Alicante;46,18
2023-08;Total;Comercial;LD AV;Madrid-Barcelona;47,53
2023-08;Total;Comercial;LD AV;Madrid-Málaga;60,35
2023-08;Total;Comercial;LD AV;Madrid-Sevilla;45,64
2023-08;Total;Comercial;LD AV;Madrid-Valencia;29,82
2023-09;Iryo;Comercial;LD AV;Madrid-Alicante;25,42
2023-09;Iryo;Comercial;LD AV;Madrid-Barcelona;39,59
2023-09;Iryo;Comercial;LD AV;Madrid-Málaga;43,37
2023-09;Iryo;Comercial;LD AV;Madrid-Sevilla;40,03
2023-09;Iryo;Comercial;LD AV;Madrid-Valencia;19,72
2023-09;OUIGO;Comercial;LD AV;Madrid-Alicante;22,5
